"coverage","METRIC.F1_Score","caller"
14.001265,0.990428,"GATK-4.1.0.0"
14.020707,0.994654,"DV-0.10.0"
14.020707,0.985274,"GATK-3.5.0"
14.020707,0.991045,"GATK-4.1.0.0"
14.046907,0.989502,"DV-0.10.0"
14.046907,0.978482,"GATK-3.5.0"
14.046907,0.985012,"GATK-4.1.0.0"
14.064292,0.995121,"DV-0.10.0"
14.064292,0.98509,"GATK-3.5.0"
14.064292,0.990969,"GATK-4.1.0.0"
14.092985,0.996141,"DV-0.10.0"
14.092985,0.985991,"GATK-3.5.0"
14.092985,0.991954,"GATK-4.1.0.0"
14.09802,0.994891,"DV-0.10.0"
14.09802,0.985079,"GATK-3.5.0"
14.09802,0.991105,"GATK-4.1.0.0"
14.129018,0.996447,"DV-0.10.0"
14.129018,0.987025,"GATK-3.5.0"
14.129018,0.992699,"GATK-4.1.0.0"
14.221424,0.99616,"DV-0.10.0"
14.221424,0.987269,"GATK-3.5.0"
14.221424,0.992628,"GATK-4.1.0.0"
14.231287,0.995047,"DV-0.10.0"
14.231287,0.986526,"GATK-3.5.0"
14.231287,0.991809,"GATK-4.1.0.0"
14.2472,0.995636,"DV-0.10.0"
14.2472,0.98606,"GATK-3.5.0"
14.2472,0.99181,"GATK-4.1.0.0"
14.309445,0.995154,"DV-0.10.0"
14.309445,0.986306,"GATK-3.5.0"
14.309445,0.991683,"GATK-4.1.0.0"
14.334066,0.99586,"DV-0.10.0"
14.334066,0.985808,"GATK-3.5.0"
14.334066,0.991621,"GATK-4.1.0.0"
14.344205,0.996375,"DV-0.10.0"
14.344205,0.987825,"GATK-3.5.0"
14.344205,0.99273,"GATK-4.1.0.0"
14.386009,0.995481,"DV-0.10.0"
14.386009,0.986164,"GATK-3.5.0"
14.386009,0.991907,"GATK-4.1.0.0"
14.3913,0.994965,"DV-0.10.0"
14.3913,0.986152,"GATK-3.5.0"
14.3913,0.991243,"GATK-4.1.0.0"
14.408192,0.994596,"DV-0.10.0"
14.408192,0.985786,"GATK-3.5.0"
14.408192,0.991216,"GATK-4.1.0.0"
14.475708,0.996312,"DV-0.10.0"
14.475708,0.986613,"GATK-3.5.0"
14.475708,0.992176,"GATK-4.1.0.0"
14.480221,0.996227,"DV-0.10.0"
14.480221,0.98651,"GATK-3.5.0"
14.480221,0.992186,"GATK-4.1.0.0"
14.532016,0.995659,"DV-0.10.0"
14.532016,0.987064,"GATK-3.5.0"
14.532016,0.992215,"GATK-4.1.0.0"
14.54918,0.994689,"DV-0.10.0"
14.54918,0.986109,"GATK-3.5.0"
14.54918,0.991425,"GATK-4.1.0.0"
14.622994,0.99593,"DV-0.10.0"
14.622994,0.987632,"GATK-3.5.0"
14.622994,0.992695,"GATK-4.1.0.0"
14.630887,0.996716,"DV-0.10.0"
14.630887,0.987737,"GATK-3.5.0"
14.630887,0.992932,"GATK-4.1.0.0"
14.641896,0.99614,"DV-0.10.0"
14.641896,0.988573,"GATK-3.5.0"
14.641896,0.993097,"GATK-4.1.0.0"
14.715881,0.996283,"DV-0.10.0"
14.715881,0.988379,"GATK-3.5.0"
14.715881,0.993286,"GATK-4.1.0.0"
14.744371,0.995571,"DV-0.10.0"
14.744371,0.98813,"GATK-3.5.0"
14.744371,0.992819,"GATK-4.1.0.0"
14.767195,0.996176,"DV-0.10.0"
14.767195,0.988545,"GATK-3.5.0"
14.767195,0.993173,"GATK-4.1.0.0"
14.844055,0.996702,"DV-0.10.0"
14.844055,0.989313,"GATK-3.5.0"
14.844055,0.993665,"GATK-4.1.0.0"
14.943705,0.996108,"DV-0.10.0"
14.943705,0.988848,"GATK-3.5.0"
14.943705,0.993167,"GATK-4.1.0.0"
14.946981,0.996967,"DV-0.10.0"
14.946981,0.988831,"GATK-3.5.0"
14.946981,0.993604,"GATK-4.1.0.0"
14.947024,0.996874,"DV-0.10.0"
14.947024,0.98852,"GATK-3.5.0"
14.947024,0.993684,"GATK-4.1.0.0"
14.991732,0.996368,"DV-0.10.0"
14.991732,0.989299,"GATK-3.5.0"
14.991732,0.993622,"GATK-4.1.0.0"
14.997448,0.995449,"DV-0.10.0"
14.997448,0.988087,"GATK-3.5.0"
14.997448,0.992483,"GATK-4.1.0.0"
15.011828,0.996659,"DV-0.10.0"
15.011828,0.989573,"GATK-3.5.0"
15.011828,0.993861,"GATK-4.1.0.0"
15.017935,0.996393,"DV-0.10.0"
15.017935,0.989218,"GATK-3.5.0"
15.017935,0.993554,"GATK-4.1.0.0"
15.024423,0.996125,"DV-0.10.0"
15.024423,0.9887,"GATK-3.5.0"
15.024423,0.993374,"GATK-4.1.0.0"
15.032996,0.995141,"DV-0.10.0"
15.032996,0.988681,"GATK-3.5.0"
15.032996,0.992609,"GATK-4.1.0.0"
15.04966,0.995716,"DV-0.10.0"
15.04966,0.988206,"GATK-3.5.0"
15.04966,0.99248,"GATK-4.1.0.0"
15.163955,0.996596,"DV-0.10.0"
15.163955,0.988966,"GATK-3.5.0"
15.163955,0.993545,"GATK-4.1.0.0"
15.165166,0.997524,"DV-0.10.0"
15.165166,0.990554,"GATK-3.5.0"
15.165166,0.994769,"GATK-4.1.0.0"
15.174835,0.99598,"DV-0.10.0"
15.174835,0.989053,"GATK-3.5.0"
15.174835,0.993091,"GATK-4.1.0.0"
15.211099,0.99652,"DV-0.10.0"
15.211099,0.989684,"GATK-3.5.0"
15.211099,0.993757,"GATK-4.1.0.0"
15.224282,0.996253,"DV-0.10.0"
15.224282,0.988186,"GATK-3.5.0"
15.224282,0.992911,"GATK-4.1.0.0"
15.285711,0.996009,"DV-0.10.0"
15.285711,0.989732,"GATK-3.5.0"
15.285711,0.993549,"GATK-4.1.0.0"
15.355775,0.996403,"DV-0.10.0"
15.355775,0.988906,"GATK-3.5.0"
15.355775,0.993368,"GATK-4.1.0.0"
15.372332,0.996686,"DV-0.10.0"
15.372332,0.989739,"GATK-3.5.0"
15.372332,0.993984,"GATK-4.1.0.0"
15.386599,0.997272,"DV-0.10.0"
15.386599,0.989524,"GATK-3.5.0"
15.386599,0.993941,"GATK-4.1.0.0"
15.419005,0.996407,"DV-0.10.0"
15.419005,0.989389,"GATK-3.5.0"
15.419005,0.993613,"GATK-4.1.0.0"
15.425653,0.996252,"DV-0.10.0"
15.425653,0.989828,"GATK-3.5.0"
15.425653,0.993776,"GATK-4.1.0.0"
15.444852,0.996301,"DV-0.10.0"
15.444852,0.989569,"GATK-3.5.0"
15.444852,0.993604,"GATK-4.1.0.0"
15.448945,0.996586,"DV-0.10.0"
15.448945,0.990467,"GATK-3.5.0"
15.448945,0.994093,"GATK-4.1.0.0"
15.480276,0.997241,"DV-0.10.0"
15.480276,0.989829,"GATK-3.5.0"
15.480276,0.994142,"GATK-4.1.0.0"
15.484672,0.997314,"DV-0.10.0"
15.484672,0.990817,"GATK-3.5.0"
15.484672,0.994647,"GATK-4.1.0.0"
15.485512,0.996161,"DV-0.10.0"
15.485512,0.989238,"GATK-3.5.0"
15.485512,0.993345,"GATK-4.1.0.0"
15.502419,0.996947,"DV-0.10.0"
15.502419,0.991188,"GATK-3.5.0"
15.502419,0.994658,"GATK-4.1.0.0"
15.516028,0.997392,"DV-0.10.0"
15.516028,0.990974,"GATK-3.5.0"
15.516028,0.994681,"GATK-4.1.0.0"
15.579075,0.996516,"DV-0.10.0"
15.579075,0.990358,"GATK-3.5.0"
15.579075,0.994005,"GATK-4.1.0.0"
15.596562,0.996999,"DV-0.10.0"
15.596562,0.990937,"GATK-3.5.0"
15.596562,0.99436,"GATK-4.1.0.0"
15.648803,0.996973,"DV-0.10.0"
15.648803,0.99089,"GATK-3.5.0"
15.648803,0.994642,"GATK-4.1.0.0"
15.651792,0.996534,"DV-0.10.0"
15.651792,0.990644,"GATK-3.5.0"
15.651792,0.980581,"GATK-4.1.0.0"
15.658855,0.996687,"DV-0.10.0"
15.658855,0.990706,"GATK-3.5.0"
15.658855,0.994471,"GATK-4.1.0.0"
15.670908,0.996551,"DV-0.10.0"
15.670908,0.990917,"GATK-3.5.0"
15.670908,0.994427,"GATK-4.1.0.0"
15.756908,0.996988,"DV-0.10.0"
15.756908,0.990512,"GATK-3.5.0"
15.756908,0.994293,"GATK-4.1.0.0"
15.798249,0.997215,"DV-0.10.0"
15.798249,0.991044,"GATK-3.5.0"
15.798249,0.994773,"GATK-4.1.0.0"
15.800438,0.99689,"DV-0.10.0"
15.800438,0.990695,"GATK-3.5.0"
15.800438,0.994524,"GATK-4.1.0.0"
15.806204,0.997371,"DV-0.10.0"
15.806204,0.992255,"GATK-3.5.0"
15.806204,0.995301,"GATK-4.1.0.0"
15.80703,0.997437,"DV-0.10.0"
15.80703,0.992326,"GATK-3.5.0"
15.80703,0.995366,"GATK-4.1.0.0"
15.830827,0.997283,"DV-0.10.0"
15.830827,0.990987,"GATK-3.5.0"
15.830827,0.9948,"GATK-4.1.0.0"
15.841488,0.997039,"DV-0.10.0"
15.841488,0.991151,"GATK-3.5.0"
15.841488,0.994569,"GATK-4.1.0.0"
15.878745,0.997443,"DV-0.10.0"
15.878745,0.991123,"GATK-3.5.0"
15.878745,0.994825,"GATK-4.1.0.0"
15.880745,0.997216,"DV-0.10.0"
15.880745,0.990989,"GATK-3.5.0"
15.880745,0.994627,"GATK-4.1.0.0"
15.898882,0.997432,"DV-0.10.0"
15.898882,0.992029,"GATK-3.5.0"
15.898882,0.995248,"GATK-4.1.0.0"
15.904106,0.997672,"DV-0.10.0"
15.904106,0.991447,"GATK-3.5.0"
15.904106,0.995064,"GATK-4.1.0.0"
15.913175,0.99704,"DV-0.10.0"
15.913175,0.990836,"GATK-3.5.0"
15.913175,0.994266,"GATK-4.1.0.0"
15.917572,0.997537,"DV-0.10.0"
15.917572,0.992231,"GATK-3.5.0"
15.917572,0.995472,"GATK-4.1.0.0"
15.926532,0.9971,"DV-0.10.0"
15.926532,0.991481,"GATK-3.5.0"
15.926532,0.994917,"GATK-4.1.0.0"
15.946528,0.997267,"DV-0.10.0"
15.946528,0.991017,"GATK-3.5.0"
15.946528,0.994695,"GATK-4.1.0.0"
15.948235,0.996862,"DV-0.10.0"
15.948235,0.991587,"GATK-3.5.0"
15.948235,0.994949,"GATK-4.1.0.0"
15.975428,0.997468,"DV-0.10.0"
15.975428,0.992245,"GATK-3.5.0"
15.975428,0.995502,"GATK-4.1.0.0"
15.987587,0.997286,"DV-0.10.0"
15.987587,0.991585,"GATK-3.5.0"
15.987587,0.994933,"GATK-4.1.0.0"
15.989449,0.997869,"DV-0.10.0"
15.989449,0.992172,"GATK-3.5.0"
15.989449,0.995587,"GATK-4.1.0.0"
16.02263,0.997468,"DV-0.10.0"
16.02263,0.991582,"GATK-3.5.0"
16.02263,0.995163,"GATK-4.1.0.0"
16.044271,0.997575,"DV-0.10.0"
16.044271,0.99278,"GATK-3.5.0"
16.044271,0.995674,"GATK-4.1.0.0"
16.054425,0.997368,"DV-0.10.0"
16.054425,0.992694,"GATK-3.5.0"
16.054425,0.995657,"GATK-4.1.0.0"
16.075581,0.997104,"DV-0.10.0"
16.075581,0.991043,"GATK-3.5.0"
16.075581,0.994608,"GATK-4.1.0.0"
16.159798,0.997544,"DV-0.10.0"
16.159798,0.992686,"GATK-3.5.0"
16.159798,0.995714,"GATK-4.1.0.0"
16.192837,0.997286,"DV-0.10.0"
16.192837,0.991942,"GATK-3.5.0"
16.192837,0.9952,"GATK-4.1.0.0"
16.217437,0.997275,"DV-0.10.0"
16.217437,0.992302,"GATK-3.5.0"
16.217437,0.995353,"GATK-4.1.0.0"
16.228152,0.997366,"DV-0.10.0"
16.228152,0.992908,"GATK-3.5.0"
16.228152,0.99576,"GATK-4.1.0.0"
16.25993,0.997434,"DV-0.10.0"
16.25993,0.99227,"GATK-3.5.0"
16.25993,0.995365,"GATK-4.1.0.0"
16.298448,0.997357,"DV-0.10.0"
16.298448,0.992077,"GATK-3.5.0"
16.298448,0.995144,"GATK-4.1.0.0"
16.319752,0.996638,"DV-0.10.0"
16.319752,0.991273,"GATK-3.5.0"
16.319752,0.994574,"GATK-4.1.0.0"
16.387201,0.997293,"DV-0.10.0"
16.387201,0.991978,"GATK-3.5.0"
16.387201,0.995148,"GATK-4.1.0.0"
16.392311,0.997146,"DV-0.10.0"
16.392311,0.992603,"GATK-3.5.0"
16.392311,0.995217,"GATK-4.1.0.0"
16.447953,0.997951,"DV-0.10.0"
16.447953,0.993122,"GATK-3.5.0"
16.447953,0.996023,"GATK-4.1.0.0"
16.455688,0.997245,"DV-0.10.0"
16.455688,0.992577,"GATK-3.5.0"
16.455688,0.995469,"GATK-4.1.0.0"
16.46485,0.997774,"DV-0.10.0"
16.46485,0.993356,"GATK-3.5.0"
16.46485,0.995976,"GATK-4.1.0.0"
16.466412,0.997457,"DV-0.10.0"
16.466412,0.992521,"GATK-3.5.0"
16.466412,0.995574,"GATK-4.1.0.0"
16.569684,0.99773,"DV-0.10.0"
16.569684,0.993722,"GATK-3.5.0"
16.569684,0.996315,"GATK-4.1.0.0"
16.57767,0.997141,"DV-0.10.0"
16.57767,0.991823,"GATK-3.5.0"
16.57767,0.994897,"GATK-4.1.0.0"
16.621829,0.996722,"DV-0.10.0"
16.621829,0.991848,"GATK-3.5.0"
16.621829,0.994635,"GATK-4.1.0.0"
16.632608,0.996761,"DV-0.10.0"
16.632608,0.991323,"GATK-3.5.0"
16.632608,0.994443,"GATK-4.1.0.0"
16.692565,0.998095,"DV-0.10.0"
16.692565,0.993222,"GATK-3.5.0"
16.692565,0.995963,"GATK-4.1.0.0"
16.746097,0.998005,"DV-0.10.0"
16.746097,0.993148,"GATK-3.5.0"
16.746097,0.995977,"GATK-4.1.0.0"
16.775818,0.997202,"DV-0.10.0"
16.775818,0.992054,"GATK-3.5.0"
16.775818,0.995035,"GATK-4.1.0.0"
16.778653,0.997838,"DV-0.10.0"
16.778653,0.993471,"GATK-3.5.0"
16.778653,0.996119,"GATK-4.1.0.0"
16.782973,0.998102,"DV-0.10.0"
16.782973,0.993467,"GATK-3.5.0"
16.782973,0.996155,"GATK-4.1.0.0"
16.83305,0.997467,"DV-0.10.0"
16.83305,0.992778,"GATK-3.5.0"
