"coverage","id","METRIC.F1_Score","caller","TRUTH.TP","TRUTH.TOTAL","QUERY.FP","TRUTH.FN","FP.gt","FP.al","caller.1","Type"
10.870355,178,0.984384,"DV-0.10.0",185482,189793,1574,4311,1436,0,"DV-0.10.0","SNP"
10.870355,178,0.9,"GATK-3.5.0",9,11,0,2,0,0,"GATK-3.5.0","INDEL"
10.870355,178,0.959417,"GATK-3.5.0",176585,189793,1731,13208,1704,0,"GATK-3.5.0","SNP"
10.870355,178,1,"GATK-4.1.0.0",11,11,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.870355,178,0.975826,"GATK-4.1.0.0",182496,189793,1745,7297,1704,0,"GATK-4.1.0.0","SNP"
10.88561,35,1,"DV-0.10.0",10,10,0,0,0,0,"DV-0.10.0","INDEL"
10.88561,35,0.987974,"DV-0.10.0",184849,188422,927,3573,873,0,"DV-0.10.0","SNP"
10.88561,35,1,"GATK-3.5.0",10,10,0,0,0,0,"GATK-3.5.0","INDEL"
10.88561,35,0.964167,"GATK-3.5.0",176391,188422,1080,12031,1048,0,"GATK-3.5.0","SNP"
10.88561,35,1,"GATK-4.1.0.0",10,10,0,0,0,0,"GATK-4.1.0.0","INDEL"
10.88561,35,0.979422,"GATK-4.1.0.0",181865,188422,1085,6557,1052,0,"GATK-4.1.0.0","SNP"
10.887279,121,1,"DV-0.10.0",9,9,0,0,0,0,"DV-0.10.0","INDEL"
10.887279,121,0.987031,"DV-0.10.0",183420,187195,1045,3775,963,0,"DV-0.10.0","SNP"
10.887279,121,0.875,"GATK-3.5.0",7,9,0,2,0,0,"GATK-3.5.0","INDEL"
10.887279,121,0.961953,"GATK-3.5.0",174593,187195,1209,12602,1181,0,"GATK-3.5.0","SNP"
10.887279,121,0.875,"GATK-4.1.0.0",7,9,0,2,0,0,"GATK-4.1.0.0","INDEL"
10.887279,121,0.978204,"GATK-4.1.0.0",180375,187195,1218,6820,1184,0,"GATK-4.1.0.0","SNP"
11.191799,108,0.947368,"DV-0.10.0",9,10,0,1,0,0,"DV-0.10.0","INDEL"
11.191799,108,0.990537,"DV-0.10.0",183073,185812,759,2739,695,0,"DV-0.10.0","SNP"
11.191799,108,0.947368,"GATK-3.5.0",9,10,0,1,0,0,"GATK-3.5.0","INDEL"
11.191799,108,0.968544,"GATK-3.5.0",175414,185812,996,10398,951,0,"GATK-3.5.0","SNP"
11.191799,108,0.947368,"GATK-4.1.0.0",9,10,0,1,0,0,"GATK-4.1.0.0","INDEL"
11.191799,108,0.981834,"GATK-4.1.0.0",180143,185812,997,5669,946,0,"GATK-4.1.0.0","SNP"
11.221866,33,1,"DV-0.10.0",10,10,0,0,0,0,"DV-0.10.0","INDEL"
11.221866,33,0.989424,"DV-0.10.0",185006,188089,872,3083,814,0,"DV-0.10.0","SNP"
11.221866,33,1,"GATK-3.5.0",10,10,0,0,0,0,"GATK-3.5.0","INDEL"
11.221866,33,0.968416,"GATK-3.5.0",177559,188089,1052,10530,1026,0,"GATK-3.5.0","SNP"
